"ID";"REG1";"Event";"DIM";"Date";"Remark";"R";"T";"B";"Technician";"ET Donor Dam";"ET Donor Reg";
       635 ;276001406356424 ;BESAMT     ; 100 ;27/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       647 ;276001406130098 ;BESAMT     ; 358 ;23/11/24;DIVINITY        ;O ; 4 ;G ;Annett     300       ;;;
       650 ;276001406531702 ;BESAMT     ; 129 ;09/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
       650 ;276001406531702 ;BESAMT     ; 157 ;06/11/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
       668 ;276001405111046 ;BESAMT     ; 304 ;06/11/24;NIGHTBLU.B      ;C ; 2 ;C ;S�ren      7         ;;;
       687 ;276001504575390 ;BESAMT     ; 357 ;05/10/24;RIVARIDG        ;P ; 2 ;C ;S�ren      7         ;;;
       704 ;276001406390450 ;BESAMT     ; 366 ;10/10/24;NIGHTBLU.B      ;C ; 5 ;C ;Stefan     278       ;;;
       731 ;276001272845866 ;BESAMT     ; 100 ;06/12/24;ZINGLER         ;R ; 4 ;O ;Annett     300       ;;;
       731 ;276001272845866 ;BESAMT     ; 102 ;08/12/24;ZINGLER         ;O ; 3 ;C ;Sjoerd     278       ;;;
       751 ;276001406703200 ;BESAMT     ;  81 ;13/10/24;BULL            ;E ; 0 ;- ;Tech# 0              ;;;
       751 ;276001406703200 ;BESAMT     ;  86 ;18/10/24;RIVARIDG        ;C ; 3 ;O ;Sjoerd     278       ;;;
       751 ;276001406703200 ;BESAMT     ; 111 ;12/11/24;RIVARIDG        ;C ; 3 ;C ;Sjoerd     278       ;;;
       755 ;276001272845808 ;BESAMT     ; 128 ;13/10/24;RIVARIDG        ;P ; 3 ;C ;Sjoerd     278       ;;;
       759 ;276001272845864 ;BESAMT     ;  57 ;11/10/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
       770 ;276001272845855 ;BESAMT     ;  67 ;05/12/24;ZINGLER         ;O ; 5 ;C ;Stefan     278       ;;;
       770 ;276001272845855 ;BESAMT     ;  90 ;28/12/24;SAMSON          ;O ; 3 ;C ;Sjoerd     278       ;;;
       774 ;276001406703171 ;BESAMT     ;  59 ;28/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       779 ;276001405217268 ;BESAMT     ;  69 ;16/10/24;BULL            ;E ; 0 ;- ;Tech# 0              ;;;
       779 ;276001405217268 ;BESAMT     ;  89 ;05/11/24;NIGHTBLU.B      ;C ; 5 ;C ;Stefan     278       ;;;
       787 ;276001406531572 ;BESAMT     ; 117 ;04/10/24;SLAVIA          ;O ; 4 ;O ;Annett     300       ;;;
       787 ;276001406531572 ;BESAMT     ; 156 ;12/11/24;SLAVIA          ;P ; 4 ;G ;Annett     300       ;;;
       814 ;276001406531583 ;BESAMT     ; 338 ;01/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       830 ;276001406531759 ;BESAMT     ;  86 ;23/11/24;SLAVIA          ;P ; 4 ;O ;Annett     300       ;;;
       890 ;276001406531740 ;BESAMT     ;  68 ;19/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
       890 ;276001406531740 ;BESAMT     ;  90 ;10/11/24;RIVARIDG        ;P ; 3 ;C ;Sjoerd     278       ;;;
       891 ;276001405758989 ;BESAMT     ;  78 ;09/10/24;RIVARIDG        ;P ; 5 ;C ;Stefan     278       ;;;
       899 ;276001406531772 ;BESAMT     ;  86 ;18/10/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
       899 ;276001406531772 ;BESAMT     ; 109 ;10/11/24;SLAVIA          ;P ; 2 ;G ;S�ren      7         ;;;
       913 ;276001406531805 ;BESAMT     ; 101 ;12/10/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
       919 ;276001272845815 ;BESAMT     ;  82 ;18/10/24;LIENONME        ;O ; 5 ;O ;Stefan     278       ;;;
       919 ;276001272845815 ;BESAMT     ; 105 ;10/11/24;LIENONME        ;P ; 3 ;C ;Sjoerd     278       ;;;
       921 ;276001406130188 ;BESAMT     ; 188 ;05/10/24;RIVARIDG        ;P ; 2 ;C ;S�ren      7         ;;;
       921 ;276001406130188 ;BESAMT     ; 221 ;07/11/24;NIGHTBLU.B      ;C ; 2 ;G ;S�ren      7         ;;;
       926 ;276001405714278 ;BESAMT     ; 324 ;18/10/24;LIENONME        ;O ; 2 ;C ;S�ren      7         ;;;
       926 ;276001405714278 ;BESAMT     ; 345 ;08/11/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
       940 ;276001406398415 ;BESAMT     ; 258 ;05/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       956 ;276001406122236 ;BESAMT     ; 289 ;01/11/24;NIGHTBLU.B      ;C ; 4 ;O ;Annett     300       ;;;
       957 ;276001406703144 ;BESAMT     ;  93 ;19/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
       957 ;276001406703144 ;BESAMT     ; 116 ;11/11/24;RIVARIDG        ;P ; 3 ;C ;Sjoerd     278       ;;;
       968 ;276001406356273 ;BESAMT     ; 316 ;18/10/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
       968 ;276001406356273 ;BESAMT     ; 339 ;10/11/24;NIGHTBLU.B      ;P ; 2 ;G ;S�ren      7         ;;;
       972 ;276001406356378 ;BESAMT     ;  83 ;18/10/24;LIENONME        ;O ; 5 ;O ;Stefan     278       ;;;
       972 ;276001406356378 ;BESAMT     ;  94 ;29/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       976 ;276001405598305 ;BESAMT     ; 110 ;13/12/24;SLAVIA          ;O ; 4 ;O ;Annett     300       ;;;
       989 ;276001406703142 ;BESAMT     ; 123 ;04/10/24;SLAVIA          ;P ; 4 ;C ;Annett     300       ;;;
      1005 ;276001406122313 ;BESAMT     ;  67 ;07/10/24;SLAVIA          ;O ; 5 ;C ;Stefan     278       ;;;
      1005 ;276001406122313 ;BESAMT     ;  91 ;31/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      1013 ;276001406531700 ;BESAMT     ; 189 ;12/10/24;LIENONME        ;P ; 3 ;C ;Sjoerd     278       ;;;
      1020 ;276001406531670 ;BESAMT     ; 139 ;18/10/24;LIENONME        ;P ; 4 ;O ;Annett     300       ;;;
      1025 ;276001406130106 ;BESAMT     ; 229 ;11/10/24;RIVARIDG        ;O ; 5 ;O ;Stefan     278       ;;;
      1025 ;276001406130106 ;BESAMT     ; 260 ;11/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1035 ;276001406703163 ;BESAMT     ;  77 ;18/10/24;NIGHTBLU.B      ;P ; 3 ;O ;Sjoerd     278       ;;;
      1039 ;276001270693223 ;BESAMT     ; 106 ;25/10/24;SLAVIA          ;P ; 4 ;O ;Annett     300       ;;;
      1042 ;276001406703205 ;BESAMT     ;  91 ;15/11/24;NIGHTBLU.B      ;P ; 1 ;O ;Anne       224       ;;;
      1045 ;276001406531548 ;BESAMT     ; 212 ;25/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      1049 ;276001406531801 ;BESAMT     ;  98 ;19/10/24;BRONTIDE        ;C ; 2 ;C ;S�ren      7         ;;;
      1051 ;276001405598376 ;BESAMT     ; 109 ;05/10/24;RIVARIDG        ;C ; 2 ;C ;S�ren      7         ;;;
      1051 ;276001405598376 ;BESAMT     ; 134 ;30/10/24;RIVARIDG        ;P ; 2 ;C ;S�ren      7         ;;;
      1052 ;276001406466310 ;BESAMT     ; 136 ;25/10/24;RIVARIDG        ;P ; 5 ;O ;Stefan     278       ;;;
      1055 ;276001406531719 ;BESAMT     ;  57 ;02/10/24;SLAVIA          ;P ; 3 ;C ;Sjoerd     278       ;;;
      1115 ;276001406356263 ;BESAMT     ; 104 ;23/10/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1115 ;276001406356263 ;BESAMT     ; 137 ;25/11/24;NIGHTBLU.B      ;C ; 5 ;C ;Stefan     278       ;;;
      1120 ;276001272845807 ;BESAMT     ;  52 ;18/10/24;LIENONME        ;O ; 4 ;C ;Annett     300       ;;;
      1120 ;276001272845807 ;BESAMT     ;  55 ;21/10/24;BRONTIDE        ;O ; 2 ;C ;S�ren      7         ;;;
      1120 ;276001272845807 ;BESAMT     ;  65 ;31/10/24;BRONTIDE        ;P ; 4 ;C ;Annett     300       ;;;
      1126 ;276001406531793 ;BESAMT     ; 135 ;08/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
      1126 ;276001406531793 ;BESAMT     ; 157 ;30/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      1134 ;276001406122256 ;BESAMT     ; 142 ;18/10/24;RIVARIDG        ;O ; 5 ;C ;Stefan     278       ;;;
      1134 ;276001406122256 ;BESAMT     ; 165 ;10/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
      1139 ;276001406531823 ;BESAMT     ;  67 ;21/11/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
      1152 ;276001405059272 ;BESAMT     ; 109 ;18/10/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
      1152 ;276001405059272 ;BESAMT     ; 134 ;12/11/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
